Dog Park Name,Suburb,Address,dog area
7th Brigade Park,Chermside,"7th Brigade Park, 21 Kittyhawk Drive, Chermside",y
Abbeville Street Park,Upper Mount Gravatt,"Abbeville Street Park, 41 Abbeville Street, Upper Mount Gravatt",y
Albert Bishop Park,Nundah,"Albert Bishop Park, 40 Hendley Avenue, Nundah",y
Amelia Park,Gordon Park,"Amelia Park, 54A Swan Street, Gordon Park",y
Anzac Park,Toowong,"Anzac Park, 100 Dean Street, Toowong",y
Arbor Street Park,Ferny Grove,"Arbor Street Park, 1200 Samford Road, Ferny Grove",y
Archer Street Park,Gordon Park,"Archer Street Park, 26 Archer Street, Gordon Park",y
Ascot Park,Ascot,"Ascot Park, 93 Kitchener Road, Ascot",y
Ashridge Road Park,Darra,"Ashridge Road Park, 148 Monier Road, Darra",y
Bancroft Park,Kelvin Grove,"Bancroft Park, 360 Kelvin Grove Road, Kelvin Grove",y
Barcoorah Street Park,Westlake,"Barcoorah Street Park, 88 Barcoorah Street, Westlake",y
Barrett Street Reserve (water reserve),Bracken Ridge,"Barrett Street Reserve (water reserve), 110 Norris Road, Bracken Ridge",y
Barungwarra Bushland Reserve,Bald Hills,"Barungwarra Bushland Reserve, 98 Bald Hills-Burpengary Road, Bald Hills",y
Berkshire Crescent Park,Wishart,"Berkshire Crescent Park, 17 Berkshire Crescent, Wishart",y
Beryl Roberts Park,Coopers Plains,"Beryl Roberts Park, 45A Baroda Street, Coopers Plains",y
Bill Brown Sports Reserve,Fitzgibbon,"Bill Brown Sports Reserve, 411 Roghan Road, Fitzgibbon",y
Bill Lamond Park,Lota,"Bill Lamond Park, 34 Andrew Street, Lota",y
Blackbutt Place Park,Brookfield,"Blackbutt Place Park, 23A Blackbutt Place, Brookfield",y
Blue Gum Park,Zillmere,"Blue Gum Park, 18A Spano Street, Zillmere",y
Booker Place Park,Bellbowrie,"Booker Place Park, 89 Birkin Road, Bellbowrie",y
Boondall Park,Boondall,"Boondall Park, 2332 Sandgate Road, Boondall",y
Boorabbin Picnic Ground,Wishart,"Boorabbin Picnic Ground, 677A Mt Gravatt-Capalaba Road, Wishart",y
Boyd Park,Nundah,"Boyd Park, 11 Boyd Road, Nundah",y
Bradbury Park,Kedron,"Bradbury Park, 91 Kitchener Road, Kedron",y
Bulimba Riverside Park,Bulimba,"Bulimba Riverside Park, 57 Addison Avenue, Bulimba",y
Burnie Brae Park,Chermside,"Burnie Brae Park, 106 Meemar Street, Chermside",y
Byrne's Paddock Park,Windsor,"Byrne's Paddock Park, 21 Federation Street, Windsor",y
C.J. Greenfield Complex Park,Richlands,"C.J. Greenfield Complex Park, 149 Kimberley Street, Richlands",y
Calamvale District Park,Calamvale,"Calamvale District Park, 31 Formby Street, Calamvale",y
Canterbury Park,Bald Hills,"Canterbury Park, 63 Feuerriegel Road, Bald Hills",y
Carindale Recreation Reserve,Carindale,"Carindale Recreation Reserve, 27 Cadogan Street, Carindale",y
Colmslie Reserve,Morningside,"Colmslie Reserve, 420 Lytton Road, Morningside",y
Corramulling Park,The Gap,"Corramulling Park, 136 Yoorala Street, The Gap",y
Crosby Park,Albion,"Crosby Park, 103 Crosby Road, Albion",y
Cubberla Creek Reserve,Chapel Hill,"Cubberla Creek Reserve, 129 Fig Tree Pocket Road, Chapel Hill",y
Curlew Park,Sandgate,"Curlew Park, 74 Curlew Street, Sandgate",y
D.M. Henderson Park,Macgregor,"D.M. Henderson Park, 434 McCullough Street, Macgregor",y
Dash Street Park,Keperra,"Dash Street Park, 32 Duggan Street, Keperra",y
Decker Park,Brighton,"Decker Park, 18 Twenty-Fifth Avenue, Brighton",y
Delapine Place Park,Seventeen Mile Rocks,"Delapine Place Park, 6 Delapine Place, Seventeen Mile Rocks",y
Doulton Street Park,Calamvale,"Doulton Street Park, 154 Illaweena Street, Calamvale",y
Downfall Creek Reserve,Geebung,"Downfall Creek Reserve, 263 Bilsen Road, Geebung",y
