OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
1,D1573,THOMAS PLACE PARK,B-RE-0458,151A,ANCASTER ROAD,UPPER KEDRON,4055,152.915628053,-27.41060895,811.437572576754,12271.6504281301
2,D1575,SCARLET PLACE PARK,B-RE-0457,36,SCARLET PLACE,FOREST LAKE,4078,152.971609143972,-27.611549010003,181.436083079981,975.13657425989
3,D1576,PAT RAFTER PARK,B-RE-0456,20,MEDALLION PLACE,CARSELDINE,4034,153.009132714928,-27.3416195241918,1357.93247567179,20686.559363841
4,D1578,PARKWAY PLACE PARK,B-RE-0455,6,EVERGREEN CLOSE,KENMORE,4069,152.93090520453,-27.5218287781187,297.243998403082,4274.94506164848
5,D1579,WINROCK STREET PARK,B-RE-0454,80,MCCONNELL CRESCENT,BROOKFIELD,4069,152.918997020063,-27.5105793642881,265.102156027897,2633.07045606047
6,D1582,MANLY ROAD PARK (NO. 880),B-RE-0453,880,MANLY ROAD,WAKERLEY,4154,153.145578586512,-27.4769254901762,2961.66779882831,201694.833532642
7,D1585,IPSWICH ROAD PARK,B-RE-0534,80,FACTORY ROAD,OXLEY,4075,152.986239786915,-27.5678093953975,473.719906704123,10453.3899006341
8,D1586,TALLOW WOOD PLACE PARK,B-RE-0533,2,COOLIBAH STREET,MOUNT GRAVATT EAST,4122,153.086551170164,-27.5231361455407,752.751066908009,7459.80634636253
9,D1587,BOTTLEBRUSH PLACE PARK,B-RE-0532,21,BOTTLEBRUSH PLACE,MOUNT GRAVATT EAST,4122,153.088389172,-27.522489314,1082.11347639477,17886.9913297075
10,D1591,LEWIS PLACE PARK,B-RE-0531,330,WONDALL ROAD,MANLY WEST,4179,153.156170992977,-27.465879390152,251.420577267748,3220.00396479975
11,D1592,ANTRIM STREET PARK,B-RE-0530,57,LIMERICK STREET,ACACIA RIDGE,4110,153.021938023049,-27.593882208837,464.138455201902,12401.9610730273
12,D1593,OAKMONT STREET PARK,B-RE-0529,2A,OAKMONT STREET,CARINDALE,4152,153.107440648922,-27.5249659759424,758.631972035742,2138.27613677987
13,D1594,PALATINE HILL PARK,B-RE-0528,16A,AEMILIA AVENUE,SEVEN HILLS,4170,153.068774515827,-27.4786749733141,94.6541384302159,689.936915015761
14,D1595,DICKINSON CLOSE PARK,B-RE-0527,1034,BOUNDARY ROAD,COOPERS PLAINS,4108,153.039418905751,-27.5701064909962,409.470173588557,6361.21382672878
15,D1596,OXLEY PLACE PARK (NO. 38),B-RE-0526,38,OXLEY PLACE,FOREST LAKE,4078,152.971975032201,-27.6119918954465,84.3350878884218,402.535931495697
16,D1597,MELROSE PLACE PARK (NO. 46),B-RE-0525,46,MELROSE PLACE,FERNY GROVE,4055,152.915107649773,-27.4082970991542,471.58020795563,3141.36354874942
17,D1600,MUSGRAVE AVENUE PARK,B-RE-0523,60,TELEGRAPH ROAD,BALD HILLS,4036,153.01418962594,-27.3270993252827,1909.23979428054,122300.658091796
18,D1601,OWEN STANLEY PLACE PARK,B-RE-0522,37,KOKODA STREET,DARRA,4076,152.941285572,-27.576102157,686.946116495253,7022.64300005843
19,D1602,SWINBURNE STREET PARK,B-RE-0521,79,SWINBURNE STREET,LUTWYCHE,4030,153.029266267794,-27.4220643914043,271.520404223425,1589.91819805103
20,D1603,TYRRELL COURT PARK,B-RE-0520,16,ROTHBURY PLACE,THE GAP,4061,152.935429625232,-27.4299157913845,455.45733063158,8342.58626825301
21,D1604,BRADMAN STREET PARK,B-RE-0519,161,MORDEN ROAD,SUNNYBANK HILLS,4109,153.039039963187,-27.5833997431852,430.381079574947,9619.30157327156
22,D1605,BRISBANE CORSO PARK (NO. 55 & 59),B-RE-0518,59,BRISBANE CORSO,FAIRFIELD,4103,153.022426565364,-27.5031299298609,195.222065725084,2127.55540994273
23,D1607,DENIVEN STREET PARK,B-RE-0517,112,PRATTEN STREET,CORINDA,4075,152.986045625281,-27.5495870496132,608.234870635906,15455.7854649912
24,D1608,DOLLIS STREET PARK,B-RE-0516,670,BEAUDESERT ROAD,ROCKLEA,4106,153.021642519082,-27.5548290345649,557.497491561264,12307.2735654982
25,D1609,ANSTEAD BUSHLAND RESERVE SOUTH ,B-RE-0515,410,HAWKESBURY ROAD,ANSTEAD,4070,152.854107386947,-27.5556857362199,3846.12837386053,318495.036979616
26,D1610,OLEANDER CRESCENT PARK,B-RE-0514,322,KING AVENUE,DURACK,4077,152.989051588356,-27.5940134727145,1051.23418411861,20905.4747451007
27,D1611,ALGOORI STREET PARK,B-RE-0513,121,ALGOORI STREET,MORNINGSIDE,4170,153.078532195137,-27.4627046854494,280.806115435755,4030.71093081121
28,D1612,SUNSHINE AVENUE PARK,B-RE-0512,11,SUNSHINE AVENUE,TARRAGINDI,4121,153.04269743521,-27.5162666732556,168.281113056969,1603.07218188579
29,D1613,STEVENSON STREET PARK,B-RE-0511,9,STEVENSON STREET,CALAMVALE,4116,153.046239560129,-27.6158412151618,244.511717641138,2994.646151234
30,D1615,GRANDVIEW PLACE PARK,B-RE-0510,19,GRANDVIEW PLACE,CARINDALE,4152,153.122139960937,-27.5170201414253,633.188255835843,20548.1820211012
31,D1616,LUTWYCHE ROAD PARK (NO. 725A),B-RE-0509,725A,LUTWYCHE ROAD,KEDRON,4031,153.037019986712,-27.412977936085,848.433561061461,13193.8761874966
32,D1617,GREENWAYS ESPLANADE PARK,B-RE-0508,30,GREENWAYS ESPLANADE,PARKINSON,4115,153.019955775391,-27.6365855198813,798.484620074809,41904.8018848754
33,D1618,WOODWARD PLACE PARK,B-RE-0507,89,WOODWARD PLACE,PULLENVALE,4069,152.88058767188,-27.5220843107055,2118.31297311592,61565.6450113976
34,D1619,TORQUAY CRESCENT (NO. 1695) PARK,B-RE-0506,1695,WYNNUM ROAD,TINGALPA,4173,153.135545324733,-27.4726721563256,3481.24259443914,306095.391496624
35,D1620,BURNBY ROAD PARK (NO. 99),B-RE-0505,99,BURNBY ROAD,HEMMANT,4174,153.141252569,-27.4455321899999,3610.10720500907,208083.722952475
36,D1622,SUNNYDENE ROAD PARK,B-RE-0504,227,SUNNYDENE ROAD,CHANDLER,4155,153.191597712193,-27.5176959006972,429.32649498581,8897.71134648697
37,D1623,BRIDGEMAN PLACE PARK,B-RE-0503,20,BRIDGEMAN PLACE,FOREST LAKE,4078,152.976785592913,-27.6120038170197,330.098914984432,4393.56501138335
38,D1624,WATTLE CLOSE PARK,B-RE-0502,19,WATTLE CLOSE,BRIDGEMAN DOWNS,4035,152.993634179418,-27.3660096411707,139.239832838708,980.160305991165
39,D1625,PROSPECT TERRACE PARK (ROAD RESERVE),B-RE-0501,,PROSPECT TERRACE,KELVIN GROVE,4059,153.010682050972,-27.4515349880175,212.03988202098,1312.1191988617
40,D1629,LONGBILL PLACE PARK,B-RE-0500,45,LONGBILL PLACE,TAIGUM,4018,153.051279496891,-27.3381715504456,430.738251361048,8520.93337062044
41,D1630,PORTSIDE PLACE PARK,B-RE-0499,22,PORTSIDE PLACE,BULIMBA,4171,153.053545113571,-27.4424126849986,636.02422778059,5610.58495869413
42,D1631,YORK STREET PARK,B-RE-0498,60,YORK STREET,MORNINGSIDE,4170,153.076654909,-27.459059673,1423.03074715954,31903.3071314064
43,D1632,MULGRAVE CRESCENT PARK,B-RE-0497,2,MULGRAVE CRESCENT,FOREST LAKE,4078,152.975190134847,-27.6131050388383,386.84146802721,4597.11250622174
44,D1633,WALTON'S WAY PARK,B-RE-0656,1062A,WATERWORKS ROAD,THE GAP,4061,152.94661733,-27.4469897769999,837.950216481812,10135.8994785546
45,D1634,IVORY STREET PARK (ROAD RESERVE),B-RE-0655,,IVORY STREET,FORTITUDE VALLEY,4006,153.035359720585,-27.4600532760752,264.747903002105,2677.61613803222
46,D1635,VERA STREET PARK,B-RE-0654,118,WITTON ROAD,INDOOROOPILLY,4068,152.965418596792,-27.5065851639474,217.613072793638,2182.9549751219
47,D1636,COBLE PARK,B-RE-0653,127,ARCHDALE ROAD,FERNY GROVE,4055,152.932477086,-27.3977723479999,654.577459222627,5053.95037294619
48,D1637,ABLINGTON WAY PARK,B-RE-0652,28,ABLINGTON WAY,CARINDALE,4152,153.120484764747,-27.5220116346482,339.436334801657,6302.7518010755
49,D1638,CRIBB ROAD PARK,B-RE-0651,62,CRIBB ROAD,CARINDALE,4152,153.12026872278,-27.5270061761497,1315.00207573331,76182.0699955778
50,D1639,ADAM SMIDDY PARK,B-RE-0650,12,GORDON STREET,MILTON,4064,153.004119636854,-27.4707370749476,150.226180639622,960.266219241803
51,D1640,PAYNE ROAD PARK (NO. 507),B-RE-0649,507,PAYNE ROAD,THE GAP,4061,152.931463339666,-27.4496289582781,560.18528933043,7375.97396886529
52,D1641,CRICKET STREET PARK,B-RE-0648,155,HALE STREET,PETRIE TERRACE,4000,153.01155835019,-27.4629530319119,95.1605160676806,483.371506320471
53,D1642,MONTROSE STREET PARK,B-RE-0647,6,MONTROSE STREET,GORDON PARK,4031,153.02393871396,-27.4216404437429,199.374115143864,1693.61870766267
54,D1643,TOOTH AVENUE PARK (ROAD RESERVE),B-RE-0646,,TOOTH AVENUE,PADDINGTON,4064,152.989738982,-27.4586080029999,617.475600580774,3042.0846854062
55,D1644,DERVEL STREET PARK,B-RE-0645,7,DERVEL STREET,CARINDALE,4152,153.108466235834,-27.5228383070495,177.14699355874,945.282486556521
56,D1645,CONNAH CRESCENT PARK,B-RE-0644,20,CONNAH CRESCENT,CARINDALE,4152,153.108607498669,-27.5218795270695,248.833730484314,2092.09096740831
57,D1648,HALIFAX STREET PARK,B-RE-0643,69,MULGRAVE CRESCENT,FOREST LAKE,4078,152.975411549747,-27.614842920596,156.508235545404,858.869702932997
58,D1649,CLEMBURY PLACE PARK,B-RE-0642,60,FORMBY STREET,CALAMVALE,4116,153.03570607061,-27.6228866134148,276.422523678937,3351.24589721575
59,D1650,SPARKES HILL RESERVE,B-RE-0641,101,SHAND STREET,STAFFORD,4053,153.000350171111,-27.4118615264449,4034.17342752733,211030.596728897
60,D1651,SHAND STREET PARK (NO. 100),B-RE-0640,100,SHAND STREET,STAFFORD,4053,153.003491731037,-27.414832478394,1496.83408373255,55444.0643977441
61,D1652,CARDWELL STREET PARK,B-RE-0639,26,LILYDALE PLACE,FOREST LAKE,4078,152.946467667,-27.610104114,2411.84789565237,51217.9696842546
62,D1655,KURABY BUSHLANDS,B-RE-0638,59,RUBICON CRESCENT,KURABY,4112,153.085802293437,-27.6125236726963,6176.82886714186,678665.409105957
63,D1656,PARADISE ROAD PARK,B-RE-0637,193,BROOKBENT ROAD,PALLARA,4110,153.023529197525,-27.6117241455952,4051.67260901769,158172.754885874
64,D1657,BLAIRMOUNT STREET PARK,B-RE-0636,16,KILLARNEY PLACE,PARKINSON,4115,153.024986409686,-27.6278341304731,247.146108979895,2096.36024613288
65,D1658,CASSIA PLACE PARK,B-RE-0635,77,BRUSHBOX STREET,TAIGUM,4018,153.047778593645,-27.334636245448,292.707509281373,3317.04972275336
66,D1661,BLACKWOOD STREET PARK,B-RE-0378,76,BLACKWOOD STREET,MITCHELTON,4053,152.974339357167,-27.4101045764202,129.858944285812,812.022561441695
