,Park,HOUSE_NUMBER,STREET_ADDRESS,Suburb_x,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area,Affenpinscher,Afghan Hound,Airedale Terrier,Akita,Akita (Japanese),Alaskan Malamute,American Hairless Terrier,American Staffordshire Terrier,Anatolian Shepherd Dog,Australian Cattle Dog,Australian Kelpie,Australian Koolie,Australian Shepherd,Australian Silky Terrier,Australian Staghound,Australian Stumpy Tail Cattle Dog,Australian Terrier,Basenji,Basset Fauve de Bretagne,Basset Hound,Beagle,Bearded Collie,Bedlington Terrier,Belgian Shepherd,Belgian Shepherd Dog,Bernese Mountain Dog,Bichon Frise,Black Russian Terrier,Bloodhound,Bluetick Coonhound,Border Collie,Border Terrier,Borzoi,Boston Terrier,Bouvier des Flandres,Boxer,Bracco Italiano,Briard,British Bulldog,Brittany,Bull Arab,Bull Terrier,Bull Terrier (Miniature),Bulldog,Bullmastiff,Cairn Terrier,Canaan Dog,Canadian Eskimo Dog,Cane Corso,Cavalier King Charles Spaniel,Central Asian Shepherd Dog,Chesapeake Bay Retriever,Chihuahua,Chihuahua (Long Coat),Chihuahua (Smooth Coat),Chinese Crested Dog,Chow Chow,Clumber Spaniel,Cocker Spaniel,Cocker Spaniel (American),Collie (Rough),Collie (Smooth),Coton De Tulear,Curly Coated Retriever,Dachshund,Dalmatian,Dandie Dinmont Terrier,Deerhound,Dobermann,Dogue de Bordeaux,Dutch Shepherd Dog,English Setter,English Springer Spaniel,English Toy Terrier,Eurasier,Field Spaniel,Finnish Lapphund,Finnish Spitz,Flat Coated Retriever,Fox Terrier,Fox Terrier (Smooth),Fox Terrier (Wire),Foxhound,French Bulldog,German Hunting Terrier,German Pinscher,German Shepherd Dog,German Shepherd Dog (Long Stock Coat),German Shorthaired Pointer,German Spitz,German Wirehaired Pointer,Glen of Imaal Terrier,Golden Retriever,Gordon Setter,Grand Basset Griffon Vendeen,Great Dane,Greyhound,Griffon Bruxellois,Hamiltonstovare,Harrier,Havanese,Hungarian Vizsla,Ibizan Hound,Irish Red and White Setter,Irish Setter,Irish Terrier,Irish Wolfhound,Italian Corso Dog,Italian Greyhound,Italian Spinone,Jack Russell Terrier,Japanese Chin,Japanese Spitz,Kangal Dog,Keeshond,Kerry Blue Terrier,King Charles Spaniel,Kuvasz,Labrador Retriever,Lagotto Romagnolo ,Lakeland Terrier,Large Cross Breed,Large Munsterlander,Leonberger,Lhasa Apso,Lowchen,Maltese,Manchester Terrier,Maremma Sheepdog,Mastiff,Medium Cross Breed,Miniature Pinscher,Neapolitan Mastiff,Newfoundland,Norfolk Terrier,Norwegian Elkhound,Norwich Terrier,Nova Scotia Duck Tolling Retriever,Old English Sheepdog,Papillon,Parson Russell Terrier,Pekingese,Petit Basset Griffon Vendeen,Pharaoh Hound,Pointer,Polish Lowland Sheepdog,Pomeranian,Poodle,Poodle (Miniature),Poodle (Standard),Poodle (Toy),Portuguese Podengo,Portuguese Water Dog,Pug,Puli,Pyrenean Mountain Dog,Rhodesian Ridgeback,Rottweiler,Rough Collie,Russian Black Terrier,Russian Toy (Russkiy Toy) (Smooth Haired),Saluki,Samoyed,Schipperke,Schnauzer,Schnauzer (Giant),Schnauzer (Miniature),Scottish Terrier,Sealyham Terrier,Shar Pei,Shetland Sheepdog,Shiba Inu,Shih Tzu,Siberian Husky,Skye Terrier,Small Cross Breed,Smooth Collie,Soft Coated Wheaten Terrier,St Bernard,Staffordshire Bull Terrier,Stag Hound,Sussex Spaniel,Swedish Lapphund,Swedish Vallhund,Tenterfield Terrier,Tibetan Mastiff,Tibetan Spaniel,Tibetan Terrier,Unknown,Weimaraner,Welsh Corgi,Welsh Corgi (Cardigan),Welsh Corgi (Pembroke),Welsh Springer Spaniel,Welsh Terrier,West Highland White Terrier,Whippet,White Swiss Shepherd Dog,Yorkshire Terrier,Suburb_y,Address,dog area
0,UPPER KEDRON RECREATION RESERVE,179,CEMETERY ROAD,UPPER KEDRON,4055,152.923145715685,-27.4115759744552,1928.1728997780301,99882.918897457,0,0,0,0,0,0,0,15,0,15,22,2,1,3,0,1,1,0,0,5,25,0,0,1,1,0,9,0,0,0,43,3,0,0,0,6,0,0,1,0,12,5,0,0,3,1,0,0,1,42,0,0,9,0,0,0,0,0,16,1,0,0,0,0,15,1,0,0,3,1,0,0,1,0,0,0,0,0,0,11,2,1,0,4,0,0,23,2,3,2,0,0,22,0,0,9,7,0,0,0,0,0,0,0,0,0,3,1,1,0,26,0,5,0,1,0,6,0,73,1,0,2,0,0,4,0,48,0,0,7,1,2,0,1,0,0,0,0,1,0,1,0,0,0,3,0,5,24,3,0,5,0,0,10,0,0,9,17,1,0,0,0,0,0,7,0,4,1,0,1,0,0,18,8,0,1,0,0,0,47,0,0,0,0,4,0,1,2,1,2,1,0,0,1,0,5,0,2,3,Upper Kedron,"Upper Kedron Recreation Reserve, 270 Upper Kedron Road, Upper Kedron",y
1,FOREST LAKE SPORTS FIELDS,310,FOREST LAKE BOULEVARD,FOREST LAKE,4078,152.969532751031,-27.6191975198687,2180.16543577153,100638.22021151,0,2,1,1,0,7,0,61,1,55,63,2,1,28,0,1,10,2,0,0,46,2,0,3,0,1,23,0,1,0,120,1,0,1,1,24,0,0,7,0,26,16,1,2,20,3,0,0,1,76,0,0,40,3,5,1,1,0,33,1,0,0,0,0,59,16,1,0,6,4,0,0,6,0,0,0,0,0,0,89,5,2,0,15,0,0,100,2,2,0,0,0,52,0,0,14,17,1,1,0,1,1,0,0,0,0,8,0,6,0,75,0,4,0,0,0,14,0,163,1,0,3,0,0,27,0,235,1,7,16,2,3,5,0,0,0,0,0,0,10,0,1,0,0,0,0,37,96,17,0,8,0,0,31,0,0,16,30,1,0,0,0,5,0,20,0,0,1,0,14,6,1,85,28,0,3,1,2,2,148,0,0,0,3,9,2,22,0,10,2,9,0,1,0,0,16,4,1,4,Forest Lake,"Forest Lake Sports Fields, 310 Forest Lake Boulevard, Forest Lake",y
2,WOOGAROO RESERVE,24,BRIGHTON PARADE,FOREST LAKE,4078,152.975871983,-27.633811852999898,2613.64319327841,69522.9416033826,0,2,1,1,0,7,0,61,1,55,63,2,1,28,0,1,10,2,0,0,46,2,0,3,0,1,23,0,1,0,120,1,0,1,1,24,0,0,7,0,26,16,1,2,20,3,0,0,1,76,0,0,40,3,5,1,1,0,33,1,0,0,0,0,59,16,1,0,6,4,0,0,6,0,0,0,0,0,0,89,5,2,0,15,0,0,100,2,2,0,0,0,52,0,0,14,17,1,1,0,1,1,0,0,0,0,8,0,6,0,75,0,4,0,0,0,14,0,163,1,0,3,0,0,27,0,235,1,7,16,2,3,5,0,0,0,0,0,0,10,0,1,0,0,0,0,37,96,17,0,8,0,0,31,0,0,16,30,1,0,0,0,5,0,20,0,0,1,0,14,6,1,85,28,0,3,1,2,2,148,0,0,0,3,9,2,22,0,10,2,9,0,1,0,0,16,4,1,4,Forest Lake,"Woogaroo Reserve, 315 Forest Lake Boulevard, Forest Lake",y
3,PAT RAFTER PARK,20,MEDALLION PLACE,CARSELDINE,4034,153.009132714928,-27.3416195241918,1357.93247567179,20686.559363841003,0,0,0,1,0,3,0,27,0,24,29,1,5,10,0,0,3,0,1,1,15,2,0,6,1,0,17,0,0,0,51,0,0,2,0,9,0,0,3,1,7,4,0,1,4,3,0,0,0,47,0,0,22,2,0,1,0,1,20,0,0,0,0,0,25,1,0,0,3,0,0,0,1,0,0,0,0,0,0,33,2,0,0,6,0,0,19,1,1,0,0,0,17,0,0,2,6,0,0,0,1,2,0,0,0,0,2,0,2,0,32,0,5,0,0,0,6,0,61,0,0,0,0,0,5,1,92,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,10,46,5,3,2,0,0,10,0,1,7,9,0,0,0,0,1,1,8,0,5,0,0,6,2,0,36,8,0,3,0,0,1,51,0,0,0,0,6,0,6,0,8,2,2,0,1,0,0,5,6,1,2,Carseldine,"Pat Rafter Park, 3 Medallion Place, Carseldine",y
4,LACEY ROAD PARK,133,LACEY ROAD,CARSELDINE,4034,153.01884160020398,-27.3367550551364,2742.07113972391,131060.020369331,0,0,0,1,0,3,0,27,0,24,29,1,5,10,0,0,3,0,1,1,15,2,0,6,1,0,17,0,0,0,51,0,0,2,0,9,0,0,3,1,7,4,0,1,4,3,0,0,0,47,0,0,22,2,0,1,0,1,20,0,0,0,0,0,25,1,0,0,3,0,0,0,1,0,0,0,0,0,0,33,2,0,0,6,0,0,19,1,1,0,0,0,17,0,0,2,6,0,0,0,1,2,0,0,0,0,2,0,2,0,32,0,5,0,0,0,6,0,61,0,0,0,0,0,5,1,92,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,10,46,5,3,2,0,0,10,0,1,7,9,0,0,0,0,1,1,8,0,5,0,0,6,2,0,36,8,0,3,0,0,1,51,0,0,0,0,6,0,6,0,8,2,2,0,1,0,0,5,6,1,2,Carseldine,"Lacey Road Park, 153 Lacey Road, Carseldine",y
5,BLACKBUTT PLACE PARK,23A,BLACKBUTT PLACE,BROOKFIELD,4069,152.92706787657102,-27.504510061564197,4344.70047326935,108470.917167586,0,1,1,0,0,0,0,5,1,18,34,3,1,2,0,0,3,0,0,0,8,0,0,0,0,2,4,0,0,0,60,0,1,1,2,5,0,0,2,1,5,3,0,1,1,0,0,0,0,27,0,1,5,0,0,0,0,0,12,0,0,0,0,0,9,4,0,0,3,0,0,1,2,0,0,0,0,0,0,12,1,0,0,3,0,0,11,0,3,1,0,0,15,0,0,5,3,0,0,0,3,7,0,0,0,0,2,0,3,0,16,0,0,0,1,0,1,0,75,0,0,0,0,0,3,2,18,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,19,0,1,0,0,0,1,0,0,7,6,1,0,0,0,0,0,6,0,2,0,0,0,1,0,5,1,0,1,0,0,0,25,0,0,0,0,4,2,2,0,4,2,2,0,0,0,1,8,4,0,0,Brookfield,"Blackbutt Place Park, 23A Blackbutt Place, Brookfield",y
6,PHILLIPS PLACE PARK,11,PHILLIPS PLACE,WAKERLEY,4154,153.143147542,-27.484666224,1989.46776519507,64014.783243145495,0,0,0,0,0,2,0,11,0,16,21,2,0,3,0,0,1,0,0,0,19,0,0,1,0,1,12,0,0,0,58,2,0,1,0,9,0,0,5,2,5,1,0,3,5,1,0,0,0,80,0,0,14,0,0,1,0,0,26,0,0,0,0,0,36,2,0,0,0,0,0,0,1,0,1,0,0,0,1,26,1,0,0,9,0,0,25,0,3,1,0,0,36,0,0,4,8,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,4,0,1,1,8,0,91,0,1,1,0,0,9,1,91,0,1,2,3,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,13,58,1,0,9,0,1,10,0,0,10,11,0,0,0,0,0,0,8,0,4,2,0,1,9,0,30,9,0,5,0,1,0,53,0,0,0,0,2,0,3,2,11,3,2,0,0,0,0,12,2,0,2,Wakerley,"Phillips Place Park, 11 Phillips Place, Wakerley",y
7,SHERIFF PARK,45,HABITAT DRIVE,WAKERLEY,4154,153.162623728661,-27.4876493543975,984.064619368246,46061.9879749818,0,0,0,0,0,2,0,11,0,16,21,2,0,3,0,0,1,0,0,0,19,0,0,1,0,1,12,0,0,0,58,2,0,1,0,9,0,0,5,2,5,1,0,3,5,1,0,0,0,80,0,0,14,0,0,1,0,0,26,0,0,0,0,0,36,2,0,0,0,0,0,0,1,0,1,0,0,0,1,26,1,0,0,9,0,0,25,0,3,1,0,0,36,0,0,4,8,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,4,0,1,1,8,0,91,0,1,1,0,0,9,1,91,0,1,2,3,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,13,58,1,0,9,0,1,10,0,0,10,11,0,0,0,0,0,0,8,0,4,2,0,1,9,0,30,9,0,5,0,1,0,53,0,0,0,0,2,0,3,2,11,3,2,0,0,0,0,12,2,0,2,Wakerley,"Sheriff Park, 45 Habitat Drive, Wakerley",y
8,MOSS ROAD (NO. 42),42,MOSS ROAD,WAKERLEY,4154,153.160964675133,-27.4791214254799,1325.5758290512,40735.6642894894,0,0,0,0,0,2,0,11,0,16,21,2,0,3,0,0,1,0,0,0,19,0,0,1,0,1,12,0,0,0,58,2,0,1,0,9,0,0,5,2,5,1,0,3,5,1,0,0,0,80,0,0,14,0,0,1,0,0,26,0,0,0,0,0,36,2,0,0,0,0,0,0,1,0,1,0,0,0,1,26,1,0,0,9,0,0,25,0,3,1,0,0,36,0,0,4,8,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,4,0,1,1,8,0,91,0,1,1,0,0,9,1,91,0,1,2,3,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,13,58,1,0,9,0,1,10,0,0,10,11,0,0,0,0,0,0,8,0,4,2,0,1,9,0,30,9,0,5,0,1,0,53,0,0,0,0,2,0,3,2,11,3,2,0,0,0,0,12,2,0,2,Wakerley,"Moss Road (no. 42), 64 Watervale Parade, Wakerley",y
9,STANNARD ROAD PARK,55,STANNARD ROAD,MANLY WEST,4179,153.168754626828,-27.4605855539392,1005.31431229961,28200.2948329871,0,0,0,1,0,3,0,27,1,54,52,1,3,14,0,0,8,1,0,3,27,0,0,6,0,0,14,0,1,0,82,1,0,2,0,16,0,0,6,3,16,5,0,4,10,2,0,0,0,71,0,0,25,2,2,0,2,0,17,1,1,0,0,0,33,2,0,0,2,3,0,0,2,0,0,0,0,0,0,42,3,0,0,11,1,0,44,1,3,1,0,0,54,0,0,8,10,1,0,0,1,0,0,0,0,0,6,0,0,0,49,0,3,0,2,2,9,0,123,2,0,1,0,0,14,0,116,0,1,4,3,2,2,0,0,0,0,0,2,1,0,0,0,0,1,0,11,76,3,2,6,0,0,12,0,0,14,20,2,0,0,0,1,4,22,0,3,1,0,8,5,1,36,10,0,3,0,1,0,126,1,0,0,0,9,0,7,1,7,1,6,0,1,0,0,9,10,1,1,Manly West,"Stannard Road Park, 55 Stannard Road, Manly West",y
